parent,name*,displayName,description,synonyms,relatedTerms,references,tags,reviewers,owner,status
,G10.Cliente Residencial,Cliente Residencial,Persona física que tiene contratado un suministro eléctrico para uso doméstico en una vivienda habitual o segunda residencia. Potencia contratada típica ≤ 15 kW.,Cliente doméstico; Abonado residencial,,,PII.Sensitive;PersonalData.Personal,,,
,G10.Cliente Industrial,Cliente Industrial,Persona jurídica que tiene contratado suministro eléctrico para actividad productiva con potencia contratada > 50 kW. Se factura por maxímetro y está sujeto a tarifas de acceso específicas (6.x TD).,Abonado industrial; Gran consumidor,,,PII.Sensitive;PersonalData.Personal,,,
,G10.Cliente Crítico,Cliente Crítico,Cliente (residencial o industrial) cuya interrupción de suministro tendría impacto grave: hospitales centros de datos infraestructuras esenciales e industrias con procesos continuos. Debe tener SLA reforzado y la previsión de demanda se calcula de forma segregada para este segmento.,Cliente prioritario; Cliente esencial; Cliente VIP,,,PII.Sensitive;PersonalData.Personal,,,
,G10.Consumo Mensual,Consumo Mensual,Cantidad total de energía eléctrica consumida por un punto de suministro durante un mes natural expresada en kWh. Se calcula como diferencia entre lecturas del contador al inicio y fin de mes. Los meses incompletos se proratean.,Consumo periodo; Lectura mensual; Consumo horario agregado,,,PII.Sensitive;PersonalData.Personal,,,
,G10.Punto de Suministro,Punto de Suministro,Ubicación física identificada por un código CUPS (Código Universal de Punto de Suministro) donde se entrega energía eléctrica a un cliente. Formato ES[0-9]{16}[A-Z]{2}. Un punto de suministro pertenece a exactamente un cliente en un momento dado y es la unidad mínima de medición.,CUPS; Punto de entrega; Punto de conexión,,,PII.Sensitive;PersonalData.Personal,,,
,G10.Previsión de Demanda,Previsión de Demanda,Estimación cuantificada de la energía eléctrica que se espera que consuman los clientes de EnergiTech en un horizonte temporal futuro generada mediante un modelo predictivo de IA/ML. Debe generarse mensualmente con un MAPE ≤ 10% para ser válida y se segmenta por tipo de cliente y zona.,Forecast; Predicción de consumo; Demanda prevista,,,PII.NonSensitive,,,
,G10.Zona Geográfica,Zona Geográfica,Área territorial definida por EnergiTech para agrupar puntos de suministro con características climáticas y operativas similares. Cada punto de suministro pertenece a una única zona. La zona determina qué datos meteorológicos aplican. Código formato ZN-[A-Z]{3}-[0-9]{3}.,Zona de distribución; Área operativa; Zona de suministro,,,PII.NonSensitive,,,
,G10.Potencia Contratada,Potencia Contratada,Potencia eléctrica máxima (en kW) que un cliente tiene derecho a consumir de forma simultánea según su contrato de suministro. Condiciona la tarifa aplicable y el dimensionamiento de la infraestructura.,Potencia suscrita; Potencia nominal,,,PII.Sensitive;PersonalData.Personal,,,
,G10.Dato Meteorológico,Dato Meteorológico,Registro de variables atmosféricas (temperatura humedad radiación solar precipitación) medidas en una estación concreta en un instante o periodo de tiempo. Se obtiene de fuentes externas certificadas como AEMET y se usa como variable explicativa en el modelo de previsión.,Dato climático; Observación meteo; Variables climáticas,,,PII.NonSensitive,,,
,G10.Tarifa Energética,Tarifa Energética,Precio unitario de la energía eléctrica en el mercado mayorista o regulado expresado en €/MWh aplicable en un periodo horario concreto. Se actualiza diariamente desde OMIE/REE e influye en la decisión de compra tras la previsión.,Precio pool; Precio mercado; Tarifa eléctrica,,,PII.NonSensitive,,,
,G10.Consumo Histórico Horario,Consumo Histórico Horario,Dataset que contiene las lecturas horarias de consumo eléctrico (kWh) de todos los puntos de suministro registrados por los contadores inteligentes y el sistema SCADA. Se almacena en PostgreSQL con granularidad horaria y se requieren al menos 24 meses de histórico.,Lecturas horarias; Histórico de consumo; Datos de contadores,,,PII.Sensitive;PersonalData.Personal,,,
,G10.Calendario de Festivos,Calendario de Festivos,Información sobre festivos nacionales autonómicos y locales por zona geográfica. Se usa como variable explicativa en el modelo de previsión para ajustar patrones de consumo. Actualización anual.,Calendario zona; Datos estacionales; Festivos por zona,,,PII.NonSensitive,,,
,G10.Modelo Predictivo,Modelo Predictivo IA/ML,Algoritmo de inteligencia artificial o aprendizaje automático que genera la previsión de demanda energética a partir de los datos de consumo histórico meteorología calendario y tarifas. Se ejecuta como una caja negra desde la perspectiva del proceso de negocio.,Algoritmo de predicción; Modelo IA; Motor de forecast,,,PII.NonSensitive,,,
,G10.MAPE,MAPE (Error Porcentual Absoluto Medio),Métrica de evaluación del modelo predictivo que mide el error porcentual absoluto medio entre los valores previstos y los reales. Para EnergiTech el umbral aceptable es MAPE ≤ 10%.,Mean Absolute Percentage Error; Error de predicción; Precisión del modelo,,,PII.NonSensitive,,,
,G10.Seudonimización,Seudonimización,Técnica de protección de datos personales que sustituye los identificadores directos por códigos reversibles permitiendo la reidentificación solo con información adicional almacenada por separado. Obligatoria según RGPD antes de usar datos de clientes en el modelo predictivo.,Pseudonymization; Enmascaramiento reversible; Protección de identidad,,,PII.Sensitive;PersonalData.SpecialCategory,,,
,G10.ETL,ETL (Extract Transform Load),Proceso de extracción transformación y carga de datos desde los sistemas fuente hacia los repositorios analíticos. Incluye limpieza de outliers imputación de valores faltantes normalización y cruce de fuentes.,Proceso de integración; Pipeline de datos; Flujo ETL,,,PII.Sensitive;PersonalData.Personal,,,
,G10.Informe de Previsión,Informe de Previsión,Documento generado tras la ejecución y validación del modelo predictivo que incluye valores estimados de demanda gráficos de tendencia nivel de confianza y recomendaciones operativas. Se entrega al Responsable de Operaciones y al Comité de Dirección.,Reporte de forecast; Informe de demanda; Resultado de predicción,,,PII.NonSensitive,,,
,G10.SLA Cliente Crítico,SLA Cliente Crítico,Acuerdo de nivel de servicio reforzado para clientes críticos que establece garantías de suministro ininterrumpido tiempos máximos de respuesta ante incidencias y penalizaciones por incumplimiento.,Service Level Agreement; Nivel de servicio; Garantía de suministro,,,PII.Sensitive;PersonalData.Personal,,,
,G10.RBAC,RBAC (Control de Acceso Basado en Roles),Mecanismo de seguridad que restringe el acceso a los datos según el rol del usuario en la organización. En EnergiTech los roles definidos incluyen Analista de Demanda Data Steward DBA Operaciones y Dirección.,Role-Based Access Control; Control de acceso; Permisos por rol,,,PII.Sensitive;PersonalData.SpecialCategory,,,
,G10.Calidad Lectura,Calidad de Lectura,Indicador que clasifica cada registro de consumo según su origen: REAL (lectura directa del contador) ESTIMADA (calculada por ausencia de lectura) o CORREGIDA (ajustada tras validación). Aproximadamente el 95% de las lecturas deben ser de tipo REAL.,Tipo de lectura; Origen del dato; Fiabilidad de medición,,,PII.NonSensitive,,,
